Part Instance,Element ID,Type,Attached nodes 1,Attached nodes 2,Attached nodes 3,Attached nodes 4,Mean Hounsfield,Mean Hounsfield - Converted
FEM-1,1,C3D8R,572,584,53,52,33139.05357142857,1111.1908482142858
FEM-1,2,C3D8R,584,585,54,53,32943.475409836065,1098.967213114754
FEM-1,3,C3D8R,585,586,55,54,32880.81690140845,1095.051056338028
FEM-1,4,C3D8R,586,587,56,55,31959.70303030303,1037.4814393939396
FEM-1,5,C3D8R,587,588,57,56,32070.876404494382,1044.4297752808989
FEM-1,6,C3D8R,588,589,58,57,34255.582417582424,1180.9739010989015
FEM-1,7,C3D8R,589,590,59,58,34039.788944723616,1167.486809045226
FEM-1,8,C3D8R,590,591,60,59,29692.567441860465,895.785465116279
FEM-1,9,C3D8R,591,592,61,60,26185.28301886792,676.5801886792451
FEM-1,10,C3D8R,592,593,62,61,25292.70616113744,620.7941350710901
FEM-1,11,C3D8R,593,594,63,62,25496.862068965518,633.5538793103449
FEM-1,12,C3D8R,594,64,1,63,25392.210784313724,627.0131740196077
FEM-1,13,C3D8R,571,595,584,572,33111.78571428571,1109.4866071428569
FEM-1,14,C3D8R,595,596,585,584,33281.8547008547,1120.115918803419
FEM-1,15,C3D8R,596,597,586,585,33299.22222222222,1121.2013888888887
FEM-1,16,C3D8R,597,598,587,586,32517.0,1072.3125
FEM-1,17,C3D8R,598,599,588,587,33653.096774193546,1143.3185483870966
FEM-1,18,C3D8R,599,600,589,588,34552.445783132534,1199.5278614457834
FEM-1,19,C3D8R,600,601,590,589,33018.15760869565,1103.634850543478
FEM-1,20,C3D8R,601,602,591,590,28752.15300546448,837.0095628415299
FEM-1,21,C3D8R,602,603,592,591,25857.51308900524,656.0945680628274
FEM-1,22,C3D8R,603,604,593,592,25418.405263157892,628.6503289473683
FEM-1,23,C3D8R,604,605,594,593,25203.31527093596,615.2072044334975
FEM-1,24,C3D8R,605,65,64,594,25399.60621761658,627.4753886010362
FEM-1,25,C3D8R,559,570,595,571,33503.017857142855,1133.9386160714284
FEM-1,26,C3D8R,570,569,596,595,33398.066666666666,1127.3791666666666
FEM-1,27,C3D8R,569,568,597,596,33195.38983050847,1114.7118644067796
FEM-1,28,C3D8R,568,567,598,597,33201.388059701494,1115.0867537313434
FEM-1,29,C3D8R,567,566,599,598,33256.07547169812,1118.5047169811323
FEM-1,30,C3D8R,566,565,600,599,33948.55113636364,1161.7844460227275
FEM-1,31,C3D8R,565,564,601,600,32134.311475409835,1048.3944672131147
FEM-1,32,C3D8R,564,563,602,601,28776.34065934066,838.5212912087914
FEM-1,33,C3D8R,563,562,603,602,26192.105263157893,677.0065789473683
FEM-1,34,C3D8R,562,561,604,603,25433.67539267016,629.604712041885
FEM-1,35,C3D8R,561,560,605,604,24837.231527093598,592.3269704433499
FEM-1,36,C3D8R,560,66,65,605,25261.922279792747,618.8701424870467
FEM-1,37,C3D8R,560,606,67,66,24580.088082901555,576.2555051813472
FEM-1,38,C3D8R,606,607,68,67,25130.999999999996,610.6874999999998
FEM-1,39,C3D8R,607,608,69,68,27208.528497409327,740.5330310880829
FEM-1,40,C3D8R,608,609,70,69,26690.9693877551,708.1855867346937
FEM-1,41,C3D8R,609,610,71,70,26436.901554404147,692.3063471502592
FEM-1,42,C3D8R,610,611,72,71,26914.231527093598,722.1394704433499
FEM-1,43,C3D8R,611,612,73,72,27346.092307692306,749.1307692307691
FEM-1,44,C3D8R,612,613,74,73,28062.639175257733,793.9149484536083
FEM-1,45,C3D8R,613,614,75,74,27974.505154639173,788.4065721649483
FEM-1,46,C3D8R,614,615,76,75,28112.280193236715,797.0175120772947
FEM-1,47,C3D8R,615,616,77,76,29075.362790697673,857.2101744186045
FEM-1,48,C3D8R,616,78,2,77,29776.90134529148,901.0563340807175
FEM-1,49,C3D8R,561,617,606,560,25132.536945812808,610.7835591133005
FEM-1,50,C3D8R,617,618,607,606,25778.396907216495,651.1498067010309
FEM-1,51,C3D8R,618,619,608,607,26963.678756476686,725.2299222797928
FEM-1,52,C3D8R,619,620,609,608,28177.37948717949,801.0862179487181
FEM-1,53,C3D8R,620,621,610,609,27795.31527093596,777.2072044334975
FEM-1,54,C3D8R,621,622,611,610,27332.975609756097,748.310975609756
FEM-1,55,C3D8R,622,623,612,611,27661.88292682927,768.8676829268293
FEM-1,56,C3D8R,623,624,613,612,28553.467289719625,824.5917056074766
FEM-1,57,C3D8R,624,625,614,613,28833.429268292683,842.0893292682927
FEM-1,58,C3D8R,625,626,615,614,28278.93427230047,807.4333920187794
FEM-1,59,C3D8R,626,627,616,615,29374.920930232558,875.9325581395349
FEM-1,60,C3D8R,627,79,78,616,30049.20816326531,918.0755102040819
FEM-1,61,C3D8R,562,628,617,561,25373.429319371728,625.839332460733
FEM-1,62,C3D8R,628,629,618,617,26347.4375,686.71484375
FEM-1,63,C3D8R,629,630,619,618,27187.384615384617,739.2115384615386
FEM-1,64,C3D8R,630,631,620,619,28600.676923076924,827.5423076923078
FEM-1,65,C3D8R,631,632,621,620,29110.75700934579,859.4223130841119
